0	642.771	901	399
1	615.364	703	399
2	597.12	666	399
3	580.711	642	399
4	566.557	621	399
5	553.516	602	399
6	541.708	587	384
7	530.172	572	384
8	518.925	560	384
9	507.266	552	384
10	496.892	541	384
11	486.919	528	384
12	477.284	518	384
13	467.453	508	384
14	458.152	497	384
15	449.29	487	380
16	440.998	476	380
17	432.98	463	380
18	425.853	454	380
19	419.089	453	380
20	412.31	441	380
21	406.294	435	380
22	400.792	420	380
23	398.247	403	372
24	397.549	399	372
25	394.094	399	363
26	390.47	399	363
27	387.823	399	363
28	384.947	399	363
29	382.534	384	363
30	380.37	384	358
31	377.126	384	358
32	374.773	384	358
33	372.848	380	358
34	370.643	380	358
35	368.201	380	358
36	365.138	380	358
37	362.951	363	356
38	362.181	363	342
39	360.923	363	342
40	359.176	363	342
41	357.307	363	342
42	355.716	361	342
43	353.866	361	342
44	352.115	358	342
45	350.309	358	342
46	348.25	358	342
47	345.97	356	342
48	343.599	356	342
49	342	342	342
50	342	342	342
51	342	342	342
52	342	342	342
53	342	342	342
54	342	342	342
55	342	342	342
56	342	342	342
57	342	342	342
58	342	342	342
59	342	342	342
60	342	342	342
61	342	342	342
62	342	342	342
63	342	342	342
64	342	342	342
65	342	342	342
66	342	342	342
67	342	342	342
68	342	342	342
69	342	342	342
70	342	342	342
71	342	342	342
72	342	342	342
73	342	342	342
74	342	342	342
75	342	342	342
76	342	342	342
77	342	342	342
78	342	342	342
79	342	342	342
80	342	342	342
81	342	342	342
82	342	342	342
83	342	342	342
84	342	342	342
85	342	342	342
86	342	342	342
87	342	342	342
88	342	342	342
89	342	342	342
90	342	342	342
91	342	342	342
92	342	342	342
93	342	342	342
94	342	342	342
95	342	342	342
96	342	342	342
97	342	342	342
98	342	342	342
99	342	342	342
100	342	342	342
101	342	342	342
102	342	342	342
103	342	342	342
104	342	342	342
105	342	342	342
106	342	342	342
107	342	342	342
108	342	342	342
109	342	342	342
110	342	342	342
111	342	342	342
112	342	342	342
113	342	342	342
114	342	342	342
115	342	342	342
116	342	342	342
117	342	342	342
118	342	342	342
119	342	342	342
120	342	342	342
121	342	342	342
122	342	342	342
123	342	342	342
124	342	342	342
125	342	342	342
126	342	342	342
127	342	342	342
128	342	342	342
129	342	342	342
130	342	342	342
131	342	342	342
132	342	342	342
133	342	342	342
134	342	342	342
135	342	342	342
136	342	342	342
137	342	342	342
138	342	342	342
139	342	342	342
140	342	342	342
141	342	342	342
142	342	342	342
143	342	342	342
144	342	342	342
145	342	342	342
146	342	342	342
147	342	342	342
148	342	342	342
149	342	342	342
150	342	342	342
151	342	342	342
152	342	342	342
153	342	342	342
154	342	342	342
155	342	342	342
156	342	342	342
157	342	342	342
158	342	342	342
159	342	342	342
160	342	342	342
161	342	342	342
162	342	342	342
163	342	342	342
164	342	342	342
165	342	342	342
166	342	342	342
167	342	342	342
168	342	342	342
169	342	342	342
170	342	342	342
171	342	342	342
172	342	342	342
173	342	342	342
174	342	342	342
175	342	342	342
176	342	342	342
177	342	342	342
178	342	342	342
179	342	342	342
180	342	342	342
181	342	342	342
182	342	342	342
183	342	342	342
184	342	342	342
185	342	342	342
186	342	342	342
187	342	342	342
188	342	342	342
189	342	342	342
190	342	342	342
191	342	342	342
192	342	342	342
193	342	342	342
194	342	342	342
195	342	342	342
196	342	342	342
197	342	342	342
198	342	342	342
199	342	342	342
200	342	342	342
201	342	342	342
202	342	342	342
203	342	342	342
204	342	342	342
205	342	342	342
206	342	342	342
207	342	342	342
208	342	342	342
209	342	342	342
210	342	342	342
211	342	342	342
212	342	342	342
213	342	342	342
214	342	342	342
215	342	342	342
216	342	342	342
217	342	342	342
218	342	342	342
219	342	342	342
220	342	342	342
221	342	342	342
222	342	342	342
223	342	342	342
224	342	342	342
225	342	342	342
226	342	342	342
227	342	342	342
228	342	342	342
229	342	342	342
230	342	342	342
231	342	342	342
232	342	342	342
233	342	342	342
234	342	342	342
235	342	342	342
236	342	342	342
237	342	342	342
238	342	342	342
239	342	342	342
240	342	342	342
241	342	342	342
242	342	342	342
243	342	342	342
244	342	342	342
245	342	342	342
246	342	342	342
247	342	342	342
248	342	342	342
249	342	342	342
250	342	342	342
251	342	342	342
252	342	342	342
253	342	342	342
254	342	342	342
255	342	342	342
256	342	342	342
257	342	342	342
258	342	342	342
259	342	342	342
260	342	342	342
261	342	342	342
262	342	342	342
263	342	342	342
264	342	342	342
265	342	342	342
266	342	342	342
267	342	342	342
268	342	342	342
269	342	342	342
270	342	342	342
271	342	342	342
272	342	342	342
273	342	342	342
274	342	342	342
275	342	342	342
276	342	342	342
277	342	342	342
278	342	342	342
279	342	342	342
280	342	342	342
281	342	342	342
282	342	342	342
283	342	342	342
284	342	342	342
285	342	342	342
286	342	342	342
287	342	342	342
288	342	342	342
289	342	342	342
290	342	342	342
291	342	342	342
292	342	342	342
293	342	342	342
294	342	342	342
295	342	342	342
296	342	342	342
297	342	342	342
298	342	342	342
299	342	342	342
300	342	342	342
